"","actin","cd3","cd4","cd45","cd45ro","collageni","cytokeratin","fibulin2","lyve1","podoplanin","cd38","cd138","area","X_coord","Y_coord","InferredCellType"
"193",3595,5721,924,750,4049,271,6158,1713,2739,4685,586,9135,2783,3887.1940352138,217.418972332016,"Other"
"194",2936,6204,1012,1108,8582,452,16301,4529,1795,10622,602,13555,2854,3934.59004905396,239.262438682551,"Epithelial cells"
"195",1952,7808,1513,917,4305,1286,11172,5195,2193,9624,1020,16765,5025,224.650945273632,238.211542288557,"Mixed"
"196",2051,7076,819,296,1486,0,11185,3686,1923,8547,657,16488,3027,8437.39742319128,222.517674264949,"Mixed"
"197",5001,10459,6288,827,10997,166,9267,2165,1961,14792,696,17197,2846,8930.25263527758,228.726282501757,"Mixed"
"198",19673,10093,3736,1478,7830,2197,6516,16576,2600,1256,975,10328,5997,2045.44072036018,232.516091379023,"Mixed"
"199",2617,8159,1236,876,12658,2198,11379,8002,2202,4097,770,11224,4251,2978.31569042578,229.154316631381,"Extracellular matrix"
"200",3176,7577,1938,446,8967,572,7713,2843,2085,6023,727,14575,2017,8391.75706494794,218.168071393158,"Mixed"
"201",1695,6004,830,298,6217,266,8884,1860,2239,15960,649,12606,1252,4761.96884984026,215.308306709265,"Lymphatic vessel"
"202",5344,6852,1165,1756,2874,580,8438,3201,2124,1946,771,7993,965,136.123316062176,219.059067357513,"Other"
"203",1719,6492,1753,1118,4472,0,4438,2169,1574,2361,804,7415,3988,5289.4831995988,245.705867602808,"Other"
"204",3765,15699,9428,823,15286,4459,6935,5628,2501,9399,857,15301,5043,2476.61967083085,253.375371802499,"Mixed"
"205",6910,7245,1026,332,4756,1005,10053,2312,2231,8646,896,18737,3740,8756.84251336898,229.583155080214,"Mixed"
"206",3889,5465,1271,381,5337,530,6074,2880,1507,13333,584,8792,2805,3684.32156862745,233.085918003565,"Lymphatic vessel"
"207",3862,7710,1562,802,4474,827,6423,6721,1977,8867,684,20957,4668,120.926092544987,248.99293059126,"Mixed"
"208",2106,8023,984,526,5761,742,10580,8723,2000,10198,791,14706,4289,284.981580788063,242.186989974353,"Mixed"
"209",2682,8258,1024,431,7611,1164,7241,9874,2082,4963,562,10600,4423,1745.42278996156,238.232195342528,"Other"
"210",1766,6901,1045,556,9831,127,8209,1797,1716,9218,578,11583,1522,9416.49474375821,238.875821287779,"Other"
"211",1756,6336,1081,316,5782,463,14368,2067,1720,12411,682,15479,2894,4717.90808569454,251.779889426399,"Epithelial cells"
"212",5395,6202,756,492,5420,532,7653,3084,1881,16393,857,11008,5107,4919.32935186998,242.951047581751,"Lymphatic vessel"
"213",7003,8666,1424,549,10833,1269,7835,9798,2293,6139,768,11560,2281,2652.30074528715,235.318281455502,"Other"
"214",2262,9744,7478,9328,9449,653,8386,2773,3183,8094,916,20977,2515,8365.90934393638,250.748707753479,"Mixed"
"215",4582,5752,886,426,5696,1151,5322,2102,1927,12010,769,9398,3883,3727.10327066701,252.952871491115,"Other"
"216",1989,6331,700,543,7133,797,7093,4052,1741,7576,630,11683,2921,5456.95070181445,247.988702499144,"Other"
"217",2161,7754,1085,1390,9520,538,6335,2328,4080,6722,589,21853,2976,580.173051075269,249.245295698925,"Mixed"
"218",8764,7129,1006,512,15362,2382,6288,5693,3345,3593,708,8463,4190,8196.98424821002,250.456085918854,"Mixed"
"219",1748,6052,1072,1136,8004,221,15747,2883,1866,21065,749,12224,4313,4794.66774866682,252.524924646418,"Mixed"
