"","actin","cd3","cd4","cd45","cd45ro","collageni","cytokeratin","fibulin2","lyve1","podoplanin","cd38","cd138","InferredCellType"
"241",0,0,0,0,0,1,0,0,0,0,0,0,"Extracellular matrix"
"242",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"243",0,0,0,0,0,0,0,0,0,1,0,1,"Mixed"
"244",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"245",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"246",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"247",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"248",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"249",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"250",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"251",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"252",0,0,0,0,0,0,0,0,0,1,0,1,"Mixed"
"253",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"254",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"255",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"256",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"257",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"258",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"259",0,0,0,0,1,0,0,0,0,0,0,0,"T-cells Mixed"
"260",0,0,0,0,0,0,1,0,0,0,0,1,"Epithelial cells"
"261",0,0,0,0,0,0,0,0,0,1,0,1,"Mixed"
"262",0,0,0,0,0,0,1,0,0,1,0,1,"Mixed"
"263",0,0,0,0,1,0,0,0,0,0,0,0,"T-cells Mixed"
"264",0,0,0,0,0,1,0,0,0,0,0,1,"Mixed"
"265",0,0,0,1,0,0,0,0,0,0,0,0,"T-cells Mixed"
"266",0,0,0,0,1,1,0,0,0,0,0,0,"Mixed"
"267",1,1,0,0,1,1,0,0,0,0,0,0,"Mixed"
"268",0,0,0,0,0,0,0,0,0,1,0,1,"Mixed"
"269",0,0,0,0,0,0,0,0,0,1,0,0,"Lymphatic vessel"
"270",0,0,0,0,1,0,0,0,0,0,0,1,"Mixed"
"271",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"272",0,0,0,0,1,0,0,0,0,0,0,1,"Mixed"
"273",0,0,0,0,0,0,0,0,0,1,0,1,"Mixed"
"274",0,0,0,0,0,0,0,0,0,1,0,0,"Lymphatic vessel"
"275",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"276",0,0,0,0,0,0,1,0,0,1,0,0,"Mixed"
"277",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"278",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"279",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"280",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"281",0,0,0,0,1,0,0,0,0,1,0,0,"Mixed"
"282",0,0,0,0,0,1,0,0,0,0,0,1,"Mixed"
"283",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"284",0,0,1,0,0,1,0,0,0,0,0,0,"Mixed"
"285",0,0,0,0,1,0,0,0,0,1,0,1,"Mixed"
"286",0,0,0,0,0,0,0,0,0,1,0,0,"Lymphatic vessel"
"287",1,0,0,0,0,0,0,1,0,0,0,0,"Mixed"
"288",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"289",0,0,0,0,1,0,0,0,0,0,0,0,"T-cells Mixed"
"290",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"291",0,0,0,0,0,0,0,0,0,1,0,0,"Lymphatic vessel"
"292",0,0,0,0,0,0,0,0,0,1,0,0,"Lymphatic vessel"
"293",0,0,0,0,0,0,0,0,0,1,0,0,"Lymphatic vessel"
"294",1,0,0,0,1,1,0,0,0,0,0,0,"Mixed"
"295",0,0,0,0,0,0,0,0,0,1,0,1,"Mixed"
"296",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"297",0,0,0,0,1,0,0,0,0,0,0,0,"T-cells Mixed"
"298",0,0,0,0,0,1,0,0,0,0,0,0,"Extracellular matrix"
"299",0,0,0,0,0,0,0,0,0,1,0,0,"Lymphatic vessel"
"300",0,0,0,0,0,0,0,0,0,1,0,0,"Lymphatic vessel"
"301",0,0,0,0,0,1,0,0,0,0,0,1,"Mixed"
"302",0,0,0,0,0,1,0,0,0,0,0,1,"Mixed"
"303",0,0,0,1,0,0,1,0,0,1,0,1,"Mixed"
"304",0,0,0,1,0,0,0,0,0,1,0,0,"Mixed"
"305",0,0,0,0,0,0,0,0,0,1,0,0,"Lymphatic vessel"
"306",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"307",0,0,0,0,1,0,0,0,0,0,0,0,"T-cells Mixed"
"308",0,0,0,0,0,1,0,0,0,1,0,1,"Mixed"
"309",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"310",0,0,0,0,0,0,0,0,0,1,0,0,"Lymphatic vessel"
"311",0,1,1,0,0,1,0,0,0,0,0,0,"Mixed"
"312",0,0,0,0,0,0,0,0,0,1,0,0,"Lymphatic vessel"
"313",0,1,0,1,0,1,0,1,0,0,0,0,"Mixed"
"314",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"315",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"316",0,0,0,0,0,0,1,0,0,1,0,0,"Mixed"
"317",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"318",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"319",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"320",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"321",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"322",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"323",0,0,0,0,1,1,0,0,0,0,0,0,"Mixed"
"324",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"325",0,0,0,0,0,1,0,0,0,0,0,0,"Extracellular matrix"
"326",0,0,0,0,1,0,0,0,0,0,0,0,"T-cells Mixed"
"327",0,0,0,0,0,0,1,0,0,0,0,1,"Epithelial cells"
"328",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"329",0,0,0,0,0,0,0,0,0,1,0,0,"Lymphatic vessel"
"330",0,0,0,0,0,0,1,0,0,1,0,0,"Mixed"
"331",0,0,0,0,0,0,0,0,0,1,0,1,"Mixed"
"332",0,0,0,0,0,0,0,1,0,0,0,0,"Extracellular matrix"
"333",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"334",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"335",0,0,0,1,0,0,0,0,0,1,0,0,"Mixed"
"336",0,0,1,0,1,0,0,0,0,1,0,0,"Mixed"
"337",0,0,0,0,0,1,0,0,0,0,0,0,"Extracellular matrix"
"338",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"339",0,0,0,0,0,1,0,0,0,0,0,0,"Extracellular matrix"
"340",0,0,0,0,1,0,0,0,0,0,0,1,"Mixed"
"341",0,1,1,0,1,0,0,0,0,0,0,0,"T-cells Mixed"
"342",0,0,0,0,0,0,0,0,0,1,0,0,"Lymphatic vessel"
